"scenario","type","year","energy"
"rcp8","train.freight.domestic.elec","2025",456.0136238
"rcp8","train.freight.domestic.elec","2030",494.5983221
"rcp8","train.freight.domestic.elec","2035",510.0187986
"rcp8","train.freight.domestic.elec","2040",512.2613451
"rcp8","train.freight.domestic.elec","2045",501.0213899
"rcp8","train.freight.domestic.elec","2050",489.0908272
"rcp8","ship.freight.domestic.fuel","2011",110.3646731
"rcp8","ship.freight.domestic.fuel","2015",117.3057368
"rcp8","ship.freight.domestic.fuel","2020",137.1285917
"rcp8","ship.freight.domestic.fuel","2025",152.0431592
"rcp8","ship.freight.domestic.fuel","2030",159.7020097
"rcp8","ship.freight.domestic.fuel","2035",158.6893632
"rcp8","ship.freight.domestic.fuel","2040",152.6616523
"rcp8","ship.freight.domestic.fuel","2045",141.9491376
"rcp8","ship.freight.domestic.fuel","2050",130.5077027
"rcp8","ship.freight.domestic.H2","2011",0
"rcp8","ship.freight.domestic.H2","2015",2.456664646
"rcp8","ship.freight.domestic.H2","2020",2.454202983
"rcp8","ship.freight.domestic.H2","2025",2.26086482
"rcp8","ship.freight.domestic.H2","2030",1.894167647
"rcp8","ship.freight.domestic.H2","2035",1.407444463
"rcp8","ship.freight.domestic.H2","2040",0.899995002
"rcp8","ship.freight.domestic.H2","2045",0.417190706
"rcp8","ship.freight.domestic.H2","2050",0
"rcp8","heavy.truck.international.ICE.liquid","2011",1602.196776
"rcp8","heavy.truck.international.ICE.liquid","2015",1813.880446
"rcp8","heavy.truck.international.ICE.liquid","2020",2236.420623
"rcp8","heavy.truck.international.ICE.liquid","2025",2625.994034
"rcp8","heavy.truck.international.ICE.liquid","2030",3007.498541
"rcp8","heavy.truck.international.ICE.liquid","2035",3198.594993
"rcp8","heavy.truck.international.ICE.liquid","2040",3316.636561
"rcp8","heavy.truck.international.ICE.liquid","2045",3352.566378
"rcp8","heavy.truck.international.ICE.liquid","2050",3386.747796
"rcp8","heavy.truck.international.ICE.gas","2011",1.22533e-06
"rcp8","heavy.truck.international.ICE.gas","2015",19.09375596
"rcp8","heavy.truck.international.ICE.gas","2020",36.97663272
"rcp8","heavy.truck.international.ICE.gas","2025",59.54469202
"rcp8","heavy.truck.international.ICE.gas","2030",87.08144575
"rcp8","heavy.truck.international.ICE.gas","2035",113.1585765
"rcp8","heavy.truck.international.ICE.gas","2040",139.1279082
"rcp8","heavy.truck.international.ICE.gas","2045",163.1783708
"rcp8","heavy.truck.international.ICE.gas","2050",188.1526553
"rcp8","heavy.truck.international.PH","2011",0
"rcp8","heavy.truck.international.PH","2015",17.06313954
"rcp8","heavy.truck.international.PH","2020",33.04417759
"rcp8","heavy.truck.international.PH","2025",53.21213051
"rcp8","heavy.truck.international.PH","2030",77.82035875
"rcp8","heavy.truck.international.PH","2035",101.1241946
"rcp8","heavy.truck.international.PH","2040",124.3316959
"rcp8","heavy.truck.international.PH","2045",145.8243993
"rcp8","heavy.truck.international.PH","2050",168.1426764
"rcp8","heavy.truck.international.EV","2011",0.009739317
"rcp8","heavy.truck.international.EV","2015",0.010680047
"rcp8","heavy.truck.international.EV","2020",0.011411196
"rcp8","heavy.truck.international.EV","2025",0.011461466
"rcp8","heavy.truck.international.EV","2030",0.010780671
"rcp8","heavy.truck.international.EV","2035",0.008873495
"rcp8","heavy.truck.international.EV","2040",0.006330417
"rcp8","heavy.truck.international.EV","2045",0.003302401
"rcp8","heavy.truck.international.EV","2050",0
"rcp8","heavy.truck.international.H2","2011",0
"rcp8","heavy.truck.international.H2","2015",7.868633654
"rcp8","heavy.truck.international.H2","2020",8.407314927
"rcp8","heavy.truck.international.H2","2025",8.318193429
"rcp8","heavy.truck.international.H2","2030",7.707212299
"rcp8","heavy.truck.international.H2","2035",6.217763454
"rcp8","heavy.truck.international.H2","2040",4.347701992
"rcp8","heavy.truck.international.H2","2045",2.22302937
"rcp8","heavy.truck.international.H2","2050",0
"rcp8","train.freight.international.fuel","2011",15.90153845
"rcp8","train.freight.international.fuel","2015",17.45050846
"rcp8","train.freight.international.fuel","2020",20.69744478
"rcp8","train.freight.international.fuel","2025",23.31559299
"rcp8","train.freight.international.fuel","2030",25.53717803
"rcp8","train.freight.international.fuel","2035",25.87787543
"rcp8","train.freight.international.fuel","2040",25.45475975
"rcp8","train.freight.international.fuel","2045",24.28274594
"rcp8","train.freight.international.fuel","2050",23.00700027
"rcp8","train.freight.international.elec","2011",24.87163706
"rcp8","train.freight.international.elec","2015",28.37910972
"rcp8","train.freight.international.elec","2020",33.27010464
"rcp8","train.freight.international.elec","2025",37.04625516
"rcp8","train.freight.international.elec","2030",40.10924006
"rcp8","train.freight.international.elec","2035",40.17785147
"rcp8","train.freight.international.elec","2040",39.06844741
"rcp8","train.freight.international.elec","2045",36.84394509
"rcp8","train.freight.international.elec","2050",34.5105004
"rcp8","ship.freight.international.fuel","2011",2528.144454
"rcp8","ship.freight.international.fuel","2015",2940.332351
"rcp8","ship.freight.international.fuel","2020",3661.970316
"rcp8","ship.freight.international.fuel","2025",4346.636816
"rcp8","ship.freight.international.fuel","2030",5035.888476
"rcp8","ship.freight.international.fuel","2035",5421.79111
"rcp8","ship.freight.international.fuel","2040",5694.898082
"rcp8","ship.freight.international.fuel","2045",5835.155191
"rcp8","ship.freight.international.fuel","2050",5978.864421
"rcp8","ship.freight.international.H2","2011",0
"rcp8","ship.freight.international.H2","2015",0
"rcp8","ship.freight.international.H2","2020",0
"rcp8","ship.freight.international.H2","2025",0
"rcp8","ship.freight.international.H2","2030",0
"rcp8","ship.freight.international.H2","2035",0
"rcp8","ship.freight.international.H2","2040",0
"rcp8","ship.freight.international.H2","2045",0
"rcp8","ship.freight.international.H2","2050",0
"rcp6","heavy.truck.domestic.ICE.liquid","2011",3986.047805
"rcp6","heavy.truck.domestic.ICE.liquid","2015",4483.938193
"rcp6","heavy.truck.domestic.ICE.liquid","2020",5605.726279
"rcp6","heavy.truck.domestic.ICE.liquid","2025",6580.784834
"rcp6","heavy.truck.domestic.ICE.liquid","2030",7250.736662
"rcp6","heavy.truck.domestic.ICE.liquid","2035",7681.711837
"rcp6","heavy.truck.domestic.ICE.liquid","2040",7922.428222
"rcp6","heavy.truck.domestic.ICE.liquid","2045",8013.89118
"rcp6","heavy.truck.domestic.ICE.liquid","2050",8051.282206
"rcp6","heavy.truck.domestic.ICE.gas","2011",3.04845e-06
"rcp6","heavy.truck.domestic.ICE.gas","2015",47.34956267
"rcp6","heavy.truck.domestic.ICE.gas","2020",97.36526599
"rcp6","heavy.truck.domestic.ICE.gas","2025",160.3184336
"rcp6","heavy.truck.domestic.ICE.gas","2030",228.7278004
"rcp6","heavy.truck.domestic.ICE.gas","2035",299.036889
"rcp6","heavy.truck.domestic.ICE.gas","2040",368.542446
"rcp6","heavy.truck.domestic.ICE.gas","2045",435.3602419
"rcp6","heavy.truck.domestic.ICE.gas","2050",502.0640831
"rcp6","heavy.truck.domestic.PH","2011",0
"rcp6","heavy.truck.domestic.PH","2015",42.31394792
"rcp6","heavy.truck.domestic.PH","2020",87.01049581
"rcp6","heavy.truck.domestic.PH","2025",143.2686127
"rcp6","heavy.truck.domestic.PH","2030",204.4026641
"rcp6","heavy.truck.domestic.PH","2035",267.2344025
"rcp6","heavy.truck.domestic.PH","2040",329.3480648
"rcp6","heavy.truck.domestic.PH","2045",389.0598088
"rcp6","heavy.truck.domestic.PH","2050",448.6697171
"rcp6","heavy.truck.domestic.EV","2011",0.024230096
"rcp6","heavy.truck.domestic.EV","2015",5.806543509
"rcp6","heavy.truck.domestic.EV","2020",7.402645585
"rcp6","heavy.truck.domestic.EV","2025",8.957298994
"rcp6","heavy.truck.domestic.EV","2030",10.20477079
"rcp6","heavy.truck.domestic.EV","2035",11.22011053
"rcp6","heavy.truck.domestic.EV","2040",12.04745947
"rcp6","heavy.truck.domestic.EV","2045",12.68984704
"rcp6","heavy.truck.domestic.EV","2050",13.27803847
"rcp6","heavy.truck.domestic.H2","2011",0
"rcp6","heavy.truck.domestic.H2","2015",20.52068785
"rcp6","heavy.truck.domestic.H2","2020",26.17810325
