"scenario","key","measure","type","year","value"
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2020",1036.67
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2025",1349.63
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2030",1721.27
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2035",2249.39
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2040",2777.51
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2045",3364.3
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2050",3872.86
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2011",3149.97
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2015",3815.79
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2020",4670.96
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2025",5775.49
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2030",7094.24
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2035",8283.06
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2040",9813.71
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2045",11138.9
"RCP6","cool","demand_TWh","cooling.FOC.non.residential","2050",12328.88
"RCP6","cool","demand_TWh","cooling.FOC.residential","2011",2509.62
"RCP6","cool","demand_TWh","cooling.FOC.residential","2015",3272.02
"RCP6","cool","demand_TWh","cooling.FOC.residential","2020",4265.62
"RCP6","cool","demand_TWh","cooling.FOC.residential","2025",5775.49
"RCP6","cool","demand_TWh","cooling.FOC.residential","2030",7571.88
"RCP6","cool","demand_TWh","cooling.FOC.residential","2035",10197.98
"RCP6","cool","demand_TWh","cooling.FOC.residential","2040",12924.75
"RCP6","cool","demand_TWh","cooling.FOC.residential","2045",16058.05
"RCP6","cool","demand_TWh","cooling.FOC.residential","2050",18891.06
