"scenario","type","year","occupancy","passenger.km","vehicle.km","TWh.vehicle.km","vehicle.km.vehicle","vehicles"
"iea2","bike.passenger.rural","2035",1,1.51e+12,1.51e+12,0,1000,1.51e+09
"iea2","bike.passenger.rural","2040",1,1.34e+12,1.34e+12,0,1000,1.34e+09
"iea2","bike.passenger.rural","2045",1,1.11e+12,1.11e+12,0,1000,1.11e+09
"iea2","bike.passenger.rural","2050",1,8.58e+11,8.58e+11,0,1000,8.58e+08
"iea2","motorbike.passenger.rural.fuel","2011",1,2.8e+12,2.8e+12,3.81e-10,10000,2.8e+08
"iea2","motorbike.passenger.rural.fuel","2015",1.01,2.97e+12,2.94e+12,3.54e-10,10000,2.94e+08
"iea2","motorbike.passenger.rural.fuel","2020",1.02,2.91e+12,2.86e+12,3.25e-10,9940,2.88e+08
"iea2","motorbike.passenger.rural.fuel","2025",1.02,2.75e+12,2.69e+12,2.97e-10,9890,2.72e+08
"iea2","motorbike.passenger.rural.fuel","2030",1.03,2.55e+12,2.49e+12,2.73e-10,9830,2.53e+08
"iea2","motorbike.passenger.rural.fuel","2035",1.03,2.32e+12,2.25e+12,2.51e-10,9770,2.3e+08
"iea2","motorbike.passenger.rural.fuel","2040",1.04,2.07e+12,1.99e+12,2.31e-10,9710,2.05e+08
"iea2","motorbike.passenger.rural.fuel","2045",1.04,1.76e+12,1.69e+12,2.14e-10,9660,1.75e+08
"iea2","motorbike.passenger.rural.fuel","2050",1.05,1.46e+12,1.39e+12,1.98e-10,9600,1.45e+08
"iea2","motorbike.passenger.rural.elec","2011",1,3.33e+10,3.33e+10,1.06e-10,10000,3330000
"iea2","motorbike.passenger.rural.elec","2015",1.01,2.3e+11,2.28e+11,1.02e-10,10000,22800000
"iea2","motorbike.passenger.rural.elec","2020",1.02,4.81e+11,4.73e+11,9.77e-11,9940,47600000
"iea2","motorbike.passenger.rural.elec","2025",1.02,7.37e+11,7.21e+11,9.44e-11,9890,7.3e+07
"iea2","motorbike.passenger.rural.elec","2030",1.03,9.99e+11,9.73e+11,9.2e-11,9830,9.9e+07
"iea2","motorbike.passenger.rural.elec","2035",1.03,1.25e+12,1.22e+12,8.99e-11,9770,1.24e+08
"iea2","motorbike.passenger.rural.elec","2040",1.04,1.5e+12,1.45e+12,8.79e-11,9710,1.49e+08
"iea2","motorbike.passenger.rural.elec","2045",1.04,1.7e+12,1.63e+12,8.6e-11,9660,1.68e+08
"iea2","motorbike.passenger.rural.elec","2050",1.05,1.85e+12,1.77e+12,8.51e-11,9600,1.84e+08
"iea2","car.passenger.rural.ICE.liquid","2011",1.8,8.41e+12,4.67e+12,7.63e-10,15000,3.11e+08
"iea2","car.passenger.rural.ICE.liquid","2015",1.8,9.01e+12,5.01e+12,7.07e-10,15000,3.34e+08
"iea2","car.passenger.rural.ICE.liquid","2020",1.79,9.31e+12,5.2e+12,6.49e-10,14800,3.5e+08
"iea2","car.passenger.rural.ICE.liquid","2025",1.78,9.55e+12,5.35e+12,5.94e-10,14700,3.65e+08
"iea2","car.passenger.rural.ICE.liquid","2030",1.78,9.78e+12,5.5e+12,5.45e-10,14500,3.8e+08
"iea2","car.passenger.rural.ICE.liquid","2035",1.77,1e+13,5.66e+12,5.02e-10,14300,3.95e+08
